사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
Aug-21,안산선,283,상록수,416,14,"13,646","2,317","27,913","7,140","60,837","10,175","53,863","14,119","28,236","11,710","20,223","9,735","18,112","10,529","19,395","11,660","16,467","13,681","14,114","13,869","14,015","15,582","14,458","22,211","17,422","30,886","17,360","56,108","10,669","49,507","8,968","31,650","7,440","27,907","4,796","21,807","1,320","10,262",55,"1,138",0,0,0,0,0,0,2021-09-03 10:03
Aug-21,안산선,284,한대앞,155,4,"6,774",875,"14,473","3,807","26,538","7,066","21,499","13,198","13,434","9,705","10,589","8,448","10,490","7,446","10,857","7,501","9,947","8,846","9,308","8,994","9,084","9,469","10,176","12,918","13,122","16,471","13,917","26,163","7,694","21,756","6,016","13,791","5,491","11,653","3,821","10,354",928,"5,379",23,658,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,안산선,285,중앙,258,33,"7,509",944,"23,170","6,851","47,512","11,196","35,204","27,181","19,551","25,618","17,451","15,795","18,582","16,302","20,742","20,186","18,678","22,362","18,415","22,505","19,585","21,091","23,299","23,933","27,700","32,316","31,499","52,667","19,111","44,469","19,713","24,484","20,711","22,385","15,244","17,294","2,510","10,088",63,"1,346",0,0,0,0,0,0,2021-09-03 10:03
Aug-21,안산선,286,고잔,265,13,"4,782",816,"11,937","3,957","25,154","11,693","18,292","23,183","11,060","11,673","9,915","8,057","10,239","7,132","9,152","7,919","8,687","8,752","9,169","8,695","10,111","8,030","10,971","8,282","16,835","12,287","19,169","20,252","7,230","16,468","5,929","10,377","5,437","9,260","3,641","7,557","1,012","4,597",21,816,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,안산선,287,초지,221,1,"2,723",420,"7,613","3,443","17,298","7,292","11,924","9,110","6,082","3,752","4,751","2,648","4,636","2,981","4,628","3,491","4,034","3,754","3,843","3,809","3,915","4,055","4,263","4,404","6,303","7,209","8,278","12,920","4,175","11,987","2,633","8,032","2,221","6,669","1,238","5,167",339,"2,574",13,534,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,안산선,288,안산,"1,537",10,"9,678","1,488","10,841","14,643","17,863","35,054","17,336","27,900","13,857","12,865","11,504","10,748","11,860","12,006","13,163","12,016","13,721","11,252","13,610","11,656","14,700","12,259","17,245","12,887","34,117","18,538","37,993","20,587","18,599","17,198","16,496","12,962","9,844","11,328","3,662","8,231",860,"3,824",30,876,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,안산선,289,신길온천,60,0,"1,795",46,"2,957","1,416","5,583","2,788","4,448","2,539","2,727","1,187","2,109","1,195","1,871","1,412","1,959","1,355","1,864","1,235","1,613","1,445","1,678","1,829","1,989","2,075","2,940","3,149","3,216","4,432","1,583","3,789","1,068","2,473",661,"2,222",401,"1,996",86,"1,047",3,191,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,안산선,290,정왕,222,1,"5,535",202,"7,964","11,203","15,601","22,690","12,715","21,701","9,033","10,326","8,438","7,184","8,182","7,179","9,032","8,000","8,476","7,516","8,610","7,771","9,871","8,786","13,189","8,652","16,954","12,340","22,463","16,522","10,314","12,723","7,802","10,493","5,468","8,962","2,513","7,337",618,"4,213",6,728,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,안산선,291,오이도,168,10,"5,348",201,"12,638","5,874","26,029","11,149","19,826","12,205","11,054","7,495","9,513","7,980","9,352","9,475","10,176","10,951","10,128","10,489","9,667","11,429","10,873","11,883","12,466","11,864","16,409","15,366","16,330","22,732","10,444","19,160","9,029","12,568","8,022","10,495","4,310","9,390",852,"5,230",0,"1,201",0,0,0,0,0,0,2021-09-03 10:03
Aug-21,안산선,292,수리산,26,1,"3,196",411,"7,729","1,750","15,379","3,305","15,004","4,531","8,176","3,023","5,933","3,520","5,042","2,864","5,166","3,222","4,832","3,069","4,066","3,010","4,065","3,910","3,863","4,769","4,025","6,378","4,573","11,343","2,319","9,225","1,460","5,803","1,131","4,710",807,"4,207",155,"1,747",7,161,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,과천선,230,선바위,7,0,921,"1,019","5,103","8,415","15,027","16,502","19,261","22,524","12,036","13,031","8,200","6,527","7,408","6,058","8,299","6,332","8,130","6,058","7,874","5,753","8,358","6,348","11,215","7,327","18,359","10,161","25,863","15,404","12,688","12,093","7,325","7,204","5,621","6,609","2,785","5,355",614,"2,070",4,63,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,과천선,231,경마공원,3,1,278,266,693,"1,663","1,772","2,194","2,226","5,148","1,993","1,826","1,385","1,095","1,102","1,154","1,111","1,160","1,455","1,113","1,453",973,"1,533","1,142","1,882","1,501","3,146","1,729","5,944","2,156",993,"1,599",591,"1,004",547,923,229,657,71,302,1,5,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,과천선,232,대공원,5,0,117,520,450,"3,785","1,145","4,027","1,309","9,457","1,858","11,727","2,133","11,787","2,830","6,907","4,608","5,495","4,794","5,584","6,144","5,075","7,106","4,245","9,598","3,123","10,009","2,192","9,951","1,565","4,842",961,"3,030",547,"3,513",352,"1,236",188,142,132,2,1,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,과천선,233,과천,10,5,"1,849",539,"6,816","4,921","17,775","4,053","17,913","7,982","10,847","4,230","8,342","4,028","7,662","4,346","8,009","4,876","7,388","5,126","6,795","5,437","7,027","5,649","8,656","7,554","8,280","9,682","6,827","16,816","3,633","13,929","2,400","7,980","1,491","7,501","1,092","6,426",260,"2,468",5,54,0,1,0,0,0,0,2021-09-03 10:03
Aug-21,과천선,234,정부과천청사,14,2,"1,778","1,095","5,991","10,057","16,031","17,458","15,026","52,833","10,708","14,530","8,460","8,482","9,192","7,789","9,818","8,383","10,450","8,654","10,533","8,859","11,125","8,302","16,898","9,918","25,947","12,556","43,176","18,832","11,750","15,325","9,311","8,071","7,870","7,440","3,315","6,012",579,"2,319",6,40,1,1,0,0,0,0,2021-09-03 10:03
Aug-21,과천선,235,인덕원,55,5,"7,397","2,577","24,096","12,672","61,070","32,755","56,421","88,687","30,962","30,337","23,212","16,385","22,336","16,813","23,937","16,188","23,001","18,304","20,777","18,787","22,140","21,772","27,287","25,256","43,534","38,954","71,568","63,669","24,804","57,099","18,253","30,003","16,523","26,672","8,992","22,684","1,469","8,844",11,246,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,과천선,236,평촌,25,0,"3,454","2,599","16,702","7,947","44,730","28,611","35,588","75,626","19,343","29,888","14,893","14,020","14,613","10,878","15,405","12,015","14,132","15,311","14,320","12,620","16,729","12,791","19,646","16,150","35,240","20,743","57,859","38,960","22,977","35,699","15,742","17,737","14,032","13,275","10,117","12,061","1,794","4,528",26,168,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,과천선,237,범계,43,0,"6,598","2,439","27,197","8,686","68,110","19,538","58,345","48,971","30,838","38,337","24,810","27,543","25,424","23,171","27,671","25,945","27,182","31,928","26,278","27,552","29,385","29,291","33,062","34,383","40,093","44,060","51,662","73,208","30,296","62,640","32,461","30,335","26,577","23,612","19,275","20,564","2,370","7,314",11,369,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,분당선,143,선릉,16,2,963,"1,295","1,966","9,417","3,712","37,304","5,564","107,889","4,850","71,023","6,114","28,994","7,539","19,959","9,286","18,092","10,245","19,366","11,265","15,019","14,460","12,398","22,391","13,294","39,086","14,378","67,622","16,556","28,847","9,974","16,542","5,163","15,989","4,343","12,922","3,513","1,238","1,379",33,375,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,분당선,144,한티,37,13,"1,915","1,041","6,292","8,863","16,121","24,669","18,616","45,550","12,199","39,486","10,343","22,320","12,267","17,194","17,015","21,128","18,039","25,804","16,988","16,565","20,119","16,712","23,572","19,493","36,551","28,072","38,897","30,734","25,110","20,156","26,595","10,733","23,253","9,347","26,627","7,499","1,634","2,557",23,115,0,1,0,0,0,0,2021-09-03 10:03
Aug-21,분당선,145,도곡,68,1,"1,158","1,036","2,899","5,891","7,039","11,556","9,744","21,128","7,576","15,514","6,162","7,248","6,893","6,174","7,541","6,578","8,026","6,930","8,373","6,611","10,372","6,466","11,901","6,967","16,770","8,790","19,401","12,226","9,957","9,395","6,766","5,237","5,720","4,796","4,080","3,998",564,"1,377",7,142,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,분당선,146,구룡,2,0,352,"1,163","1,207","5,258","2,198","5,250","2,992","4,527","2,482","2,333","1,993","1,457","2,059","1,249","2,138","1,471","2,605","1,711","2,152","1,658","2,976","1,693","6,800","1,815","5,400","2,208","2,939","3,032","1,625","2,483",842,"1,374","1,333","1,227",504,"1,235",81,454,2,20,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,분당선,147,개포동,6,2,723,"1,022","2,845","7,039","6,962","4,853","7,297","8,387","5,039","6,243","4,010","3,885","4,160","2,924","4,577","3,414","4,335","4,024","4,416","3,499","5,281","3,945","7,380","4,488","8,456","5,994","7,402","8,681","4,198","7,103","2,696","3,877","2,707","3,509","2,122","3,391",460,"1,123",1,35,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,분당선,148,대모산입구,4,0,"1,725",999,"3,427","5,698","8,561","4,826","8,984","8,254","6,257","4,766","5,052","3,019","4,733","3,277","4,757","3,323","4,239","3,469","4,327","3,506","4,993","4,298","6,585","4,322","8,187","5,597","6,905","7,368","3,136","6,278","1,981","3,800","1,483","3,644",916,"3,134",249,"1,162",9,67,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,분당선,149,수서,41,1,"2,803","2,651","5,277","11,099","19,025","21,968","28,890","38,038","18,749","21,117","16,441","16,347","14,773","12,134","17,866","15,474","15,879","14,260","12,981","14,746","19,131","16,146","22,349","18,396","29,070","22,241","34,840","33,094","16,026","24,421","16,777","15,029","10,362","12,435","10,431","10,658","2,975","2,971",0,177,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,분당선,150,복정,0,0,0,0,0,0,0,0,2,0,1,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,분당선,313,수원,571,3,"3,979",590,"7,350","2,881","19,182","6,460","20,209","11,251","9,956","9,584","7,033","6,818","7,471","7,975","8,115","8,467","8,458","9,082","8,353","8,906","9,339","8,199","11,091","9,919","13,551","15,358","17,324","20,579","11,199","13,673","11,272","7,736","10,336","6,872","6,722","4,718","1,248","2,135",34,284,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,분당선,314,서울숲,108,0,"2,266",709,"4,474","5,396","11,358","16,572","17,106","34,554","11,839","22,414","6,869","14,080","6,868","11,011","7,829","11,945","8,822","13,616","9,481","12,295","12,173","12,246","16,690","12,483","27,288","14,930","39,682","20,499","20,392","13,972","14,239","7,562","12,596","6,844","6,794","6,012","1,018","1,809",22,347,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,분당선,315,압구정로데오,108,23,"1,227",848,"2,921","9,909","4,183","19,268","5,726","55,333","5,275","90,291","6,922","44,643","10,573","34,114","13,744","31,610","16,095","30,504","20,603","26,332","26,899","23,874","35,076","24,149","52,791","25,899","73,413","29,445","56,206","15,341","46,993","5,536","36,555","3,657","20,946","2,974","1,884","1,130",29,201,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,분당선,316,강남구청,13,3,"1,052",562,"2,426","4,395","5,522","13,186","7,656","47,396","7,251","38,587","6,966","16,633","8,343","12,640","8,730","12,065","9,737","13,230","10,953","11,791","12,788","11,481","14,494","11,206","23,511","12,946","42,752","16,068","22,436","10,313","12,738","5,781","11,683","4,442","6,967","4,059",992,"1,413",12,287,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,분당선,317,선정릉,8,2,889,990,"1,691","5,152","3,793","11,926","5,786","44,159","5,266","34,942","4,613","12,632","5,552","7,133","5,977","6,432","6,525","7,406","7,671","6,593","8,612","6,083","10,738","6,009","21,435","7,028","39,287","8,379","19,661","5,840","9,533","3,505","7,935","3,192","5,671","2,899",915,974,14,186,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,분당선,318,가천대,26,1,"5,040",696,"6,822","3,276","15,170","4,337","20,864","11,467","12,748","7,215","7,449","5,718","6,572","5,790","7,337","6,904","6,877","7,135","6,557","6,601","6,954","8,238","9,973","9,295","10,325","13,406","9,220","21,164","5,234","17,541","3,675","12,408","3,317","13,053","2,579","11,360",802,"5,371",7,115,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,분당선,319,태평,222,16,"14,590","1,266","18,646","4,911","36,953","7,733","53,794","15,517","35,484","11,945","20,138","10,762","16,401","12,031","16,869","12,591","16,378","13,272","14,865","15,084","14,231","20,485","14,722","23,210","17,120","28,858","16,086","40,752","8,904","28,826","6,416","22,519","5,222","24,016","3,401","16,045",867,"6,294",13,174,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,분당선,320,모란,372,6,"13,668","2,838","20,542","10,294","45,533","19,253","56,360","30,311","40,674","24,302","28,040","22,700","27,312","24,381","27,811","25,763","26,828","28,933","30,605","28,465","26,025","33,214","26,984","33,910","29,972","38,061","35,698","54,212","19,590","39,599","13,623","27,957","12,926","25,934","8,492","19,728","2,088","8,607",24,262,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,분당선,321,야탑,106,6,"6,237","2,343","16,141","12,224","43,389","33,517","51,168","79,545","35,881","44,732","28,807","29,704","29,066","24,070","30,334","28,867","28,619","30,644","29,706","28,538","32,316","31,007","35,254","32,011","50,870","42,731","70,091","59,367","31,223","46,021","23,006","28,560","20,916","21,941","12,786","21,009","2,439","7,407",31,506,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,분당선,322,서현,212,16,"3,890","2,903","10,984","10,757","26,996","32,943","32,270","65,618","23,265","53,381","21,483","31,920","24,260","29,743","27,991","33,429","28,679","34,424","31,585","34,457","36,275","30,719","39,737","33,812","55,759","40,156","70,888","51,232","40,752","37,410","40,312","20,467","33,408","16,270","19,396","12,910","2,876","5,018",64,288,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,분당선,323,수내,141,0,"2,205","1,958","6,108","6,301","14,548","14,851","18,007","45,200","12,099","34,239","10,459","18,442","12,069","14,024","14,659","15,498","15,253","14,947","16,926","14,305","18,484","14,503","19,672","14,932","29,430","18,304","41,594","24,424","21,849","18,095","21,012","10,255","14,606","8,353","10,048","7,294","1,416","2,625",37,255,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,분당선,324,정자,227,2,"3,025","1,018","8,000","11,355","21,033","28,386","26,102","60,197","18,264","32,846","13,322","17,614","14,425","14,487","16,299","16,209","16,001","17,826","17,362","15,619","19,745","15,784","21,907","19,881","41,028","26,632","48,489","39,288","25,803","28,933","19,879","16,345","22,894","13,665","17,568","12,138","3,244","4,278",73,695,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,분당선,325,미금,495,2,"3,211",735,"10,360","10,441","21,156","18,593","26,026","37,093","19,983","28,169","19,281","19,316","20,171","18,026","20,927","20,203","20,270","21,076","21,407","20,443","25,260","19,479","25,868","22,553","30,622","26,966","33,509","34,706","16,729","28,442","14,112","17,508","14,690","14,975","10,392","12,819","1,588","5,336",28,801,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,분당선,326,오리,528,13,"3,344",517,"12,128","7,018","25,379","12,056","27,555","29,541","17,282","16,735","13,230","9,411","12,951","9,205","13,734","10,586","13,373","9,460","12,852","9,869","13,651","10,263","15,009","11,778","21,477","14,800","30,153","20,695","12,422","19,075","9,457","11,517","8,821","9,492","4,786","8,399","1,123","3,577",35,461,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,분당선,327,이매,63,15,"2,239",941,"5,290","3,552","11,047","7,492","12,414","11,755","8,489","6,717","6,440","5,091","6,738","4,930","6,811","5,721","6,730","5,919","6,757","5,563","6,904","6,016","8,099","7,108","11,788","9,063","12,293","12,935","5,375","10,452","3,415","6,186","4,190","5,551","3,582","5,671",511,"2,043",28,249,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,분당선,328,보정,20,0,803,91,"2,666","1,393","6,348","2,433","7,572","4,469","4,790","1,611","3,359","1,259","3,043","1,615","2,944","1,796","2,689","1,886","2,645","2,057","2,952","2,418","2,953","3,154","3,584","3,565","3,418","5,936","1,489","5,037","1,075","3,002","1,129","2,652",899,"2,744",158,"1,281",0,80,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,분당선,329,죽전,"1,389",13,"4,624",624,"12,898","6,728","33,851","12,818","30,813","18,954","17,711","16,526","12,879","18,348","13,114","14,883","14,257","15,003","14,011","15,561","13,964","15,730","15,077","16,806","17,190","20,294","21,426","24,764","24,890","39,244","15,707","34,343","20,121","20,884","10,669","18,055","6,102","16,246","1,048","7,822",1,"2,561",0,0,0,0,0,0,2021-09-03 10:03
Aug-21,분당선,330,구성,43,1,"1,823",384,"6,310","2,278","16,259","3,895","16,332","6,801","9,251","3,449","6,660","3,025","5,808","3,458","5,622","4,066","5,079","3,955","5,029","4,197","4,365","5,219","4,592","6,682","5,548","10,058","6,200","17,235","3,102","15,674","2,270","9,197","1,931","6,788","1,349","7,349",331,"2,875",1,192,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,분당선,331,신갈,42,0,"2,217",313,"6,984","1,379","14,685","2,137","14,794","5,394","8,391","3,012","6,426","2,957","6,238","3,422","5,293","3,995","5,532","4,314","4,790","4,475","4,780","5,351","5,571","5,586","4,577","9,040","4,150","14,104","2,182","12,516","1,555","7,852","1,386","6,193",999,"6,653",258,"2,353",5,95,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,분당선,332,기흥,148,1,"4,889",446,"11,531","3,585","29,091","7,876","28,582","12,102","15,200","6,679","10,927","5,987","10,345","7,197","10,597","7,261","10,015","8,821","9,483","8,483","9,853","9,666","11,092","11,042","13,497","17,308","15,788","31,857","8,640","25,383","6,897","14,651","6,452","12,447","4,168","12,961",966,"5,104",13,327,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,분당선,333,상갈,40,0,"2,557",489,"7,593","2,383","15,846","6,029","15,754","7,801","9,690","4,492","7,303","3,633","6,285","4,088","6,523","3,813","6,002","5,272","5,046","4,712","5,374","5,451","5,912","7,423","7,993","10,472","8,520","15,147","4,871","13,200","3,306","8,809","3,248","8,215","1,464","7,190",477,"2,638",1,314,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,분당선,334,청명,16,2,"2,121",687,"5,592","1,597","13,771","4,385","13,252","6,791","6,659","2,914","4,191","2,401","4,232","2,623","4,200","3,211","4,103","3,143","3,492","3,632","4,089","3,893","4,836","4,489","6,337","7,559","6,659","12,402","2,912","10,705","2,312","6,355","1,801","5,782","1,694","4,821",385,"1,968",4,165,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,분당선,335,영통,56,0,"1,948","1,151","6,417","3,295","13,973","7,909","14,871","18,186","8,499","12,655","7,116","7,931","8,108","8,266","9,268","9,713","9,499","10,306","8,730","9,853","10,387","9,737","11,742","10,326","16,956","15,815","19,764","20,439","10,038","15,182","9,088","9,097","10,267","8,735","8,464","7,882","1,434","2,996",33,222,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,분당선,336,망포,42,0,"3,837","2,269","14,956","7,855","38,727","19,932","33,959","35,287","17,253","14,727","11,725","7,884","11,614","8,427","12,621","9,698","12,110","9,705","11,132","9,443","12,557","11,596","15,793","13,021","27,383","19,640","37,426","34,718","16,807","35,050","11,563","20,645","9,907","15,975","6,590","13,409","1,640","4,906",36,298,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,분당선,337,매탄권선,59,0,"2,887",519,"7,372","2,771","16,040","3,870","14,527","8,090","8,043","3,663","5,478","3,032","5,170","2,776","5,343","3,701","4,908","3,558","4,408","3,464","4,866","4,694","5,877","6,044","8,272","8,792","7,078","15,477","3,532","12,731","2,535","7,747","2,233","6,490","1,644","6,335",392,"2,536",6,147,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,분당선,338,수원시청,134,1,"3,519","1,205","8,893","5,518","22,806","13,009","21,940","36,948","12,031","24,106","10,090","14,378","12,046","10,762","13,770","15,246","12,878","16,399","13,008","12,873","15,490","13,855","19,676","15,155","24,058","23,613","34,363","34,904","16,668","25,214","14,790","14,935","17,122","10,769","12,140","10,260","1,955","4,253",43,443,0,0,0,0,0,0,2021-09-03 10:03
